Date;Credit_Portfolio_Total;Credit_Portfolio_Corporate;Credit_Portfolio_Retail;Delinquency_15-90d_Total_%;Delinquency_15-90d_Corporate_%;Delinquency_15-90d_Retail_%;Interest_Rate_NonEarmarked_Corporate_%am;Interest_Rate_NonEarmarked_Retail_%am;Default_Rate_Personal_NonPayroll_%;Default_Rate_Personal_Payroll_Private_%;Default_Rate_Revolving_Credit_Card_%;Default_Rate__Corporate_SMBs_%;Default_Rate_Corporate_Large_%;Unemployment_Rate_PNADC_%;Inflation_IPC-Br_%;Net_Debt_FedGov_CenBank_%GDP;Net_Debt_Consolidated_%GDP;Primary_Result_YTD_ex-FX
01/12/2023;5.79E+12;2.27E+12;3.52E+12;3.7;1.56;5.07;1.6;3.66;6.21;6.77;53.86;4.09;0.64;7.4;0.29;51.7;60.43;2.49E+11
01/01/2024;5.78E+12;2.22E+12;3.56E+12;3.88;1.75;5.21;1.71;3.57;6.06;7.15;53.63;4.29;0.65;7.6;0.61;50.99;59.57;-1.02E+11
01/02/2024;5.80E+12;2.22E+12;3.58E+12;3.86;1.74;5.18;1.64;3.59;5.91;7.12;52.42;4.31;0.68;7.8;0.55;51.85;60.36;-53454580000
01/03/2024;5.90E+12;2.29E+12;3.61E+12;3.98;1.68;5.44;1.61;3.63;5.87;7.13;51.8;4.39;0.53;7.9;0.1;52.11;60.65;-54631580000
01/04/2024;5.92E+12;2.27E+12;3.65E+12;3.98;1.78;5.35;1.62;3.6;5.91;6.86;53.06;4.41;0.53;7.5;0.42;52.04;60.63;-61319750000
01/05/2024;5.95E+12;2.28E+12;3.67E+12;4.04;1.85;5.4;1.58;3.59;5.76;6.87;55.28;4.57;0.48;7.1;0.53;52.68;61.34;2575220000
01/06/2024;6.04E+12;2.34E+12;3.70E+12;3.77;1.61;5.14;1.59;3.58;5.92;7.13;53.09;4.41;0.41;6.9;0.22;52.65;61.42;43448490000
01/07/2024;6.07E+12;2.32E+12;3.74E+12;3.77;1.78;5.01;1.61;3.56;6.03;7.43;54.78;4.47;0.23;6.8;0.54;52.48;61.1;64796810000
01/08/2024;6.13E+12;2.34E+12;3.79E+12;3.79;1.65;5.11;1.6;3.55;5.94;7.41;55.39;4.47;0.23;6.6;-0.16;52.7;61.32;86221840000
01/09/2024;6.22E+12;2.38E+12;3.83E+12;3.68;1.45;5.07;1.57;3.57;5.93;7.62;54.47;4.52;0.27;6.4;0.63;53.14;61.73;93561370000
